code_type,code_version,codes,Description,bill_type,cancer_type,cancer,net,newly_identified
DIAG,ICD9,001,Cholera,0.0,,N,,
DIAG,ICD9,0010,Cholera due to vibrio cholerae,1.0,,N,,
DIAG,ICD9,0011,Cholera due to vibrio cholerae el tor,1.0,,N,,
DIAG,ICD9,0019,"Cholera, unspecified",1.0,,N,,
DIAG,ICD9,002,Typhoid and paratyphoid fevers,0.0,,N,,
DIAG,ICD9,0020,Typhoid fever,1.0,,N,,
DIAG,ICD9,0021,Paratyphoid fever A,1.0,,N,,
DIAG,ICD9,0022,Paratyphoid fever B,1.0,,N,,
DIAG,ICD9,0023,Paratyphoid fever C,1.0,,N,,
DIAG,ICD9,0029,"Paratyphoid fever, unspecified",1.0,,N,,
DIAG,ICD9,003,Other salmonella infections,0.0,,N,,
DIAG,ICD9,0030,Salmonella gastroenteritis,1.0,,N,,
DIAG,ICD9,0031,Salmonella septicemia,1.0,,N,,
DIAG,ICD9,0032,Localized salmonella infections,0.0,,N,,
DIAG,ICD9,00320,"Localized salmonella infection, unspecified",1.0,,N,,
DIAG,ICD9,00321,Salmonella meningitis,1.0,,N,,
DIAG,ICD9,00322,Salmonella pneumonia,1.0,,N,,
DIAG,ICD9,00323,Salmonella arthritis,1.0,,N,,
DIAG,ICD9,00324,Salmonella osteomyelitis,1.0,,N,,
DIAG,ICD9,00329,Other localized salmonella infections,1.0,,N,,
DIAG,ICD9,0038,Other specified salmonella infections,1.0,,N,,
DIAG,ICD9,0039,"Salmonella infection, unspecified",1.0,,N,,
DIAG,ICD9,004,Shigellosis,0.0,,N,,
DIAG,ICD9,0040,Shigella dysenteriae,1.0,,N,,
DIAG,ICD9,0041,Shigella flexneri,1.0,,N,,
DIAG,ICD9,0042,Shigella boydii,1.0,,N,,
DIAG,ICD9,0043,Shigella sonnei,1.0,,N,,
DIAG,ICD9,0048,Other specified shigella infections,1.0,,N,,
DIAG,ICD9,0049,"Shigellosis, unspecified",1.0,,N,,
DIAG,ICD9,005,Other food poisoning (bacterial),0.0,,N,,
DIAG,ICD9,0050,Staphylococcal food poisoning,1.0,,N,,
DIAG,ICD9,0051,Botulism food poisoning,1.0,,N,,
DIAG,ICD9,0052,Food poisoning due to Clostridium perfringens (C. welchii),1.0,,N,,
DIAG,ICD9,0053,Food poisoning due to other Clostridia,1.0,,N,,
DIAG,ICD9,0054,Food poisoning due to Vibrio parahaemolyticus,1.0,,N,,
DIAG,ICD9,0058,Other bacterial food poisoning,0.0,,N,,
DIAG,ICD9,00581,Food poisoning due to Vibrio vulnificus,1.0,,N,,
DIAG,ICD9,00589,Other bacterial food poisoning,1.0,,N,,
DIAG,ICD9,0059,"Food poisoning, unspecified",1.0,,N,,
DIAG,ICD9,006,Amebiasis,0.0,,N,,
DIAG,ICD9,0060,Acute amebic dysentery without mention of abscess,1.0,,N,,
DIAG,ICD9,0061,Chronic intestinal amebiasis without mention of abscess,1.0,,N,,
DIAG,ICD9,0062,Amebic nondysenteric colitis,1.0,,N,,
DIAG,ICD9,0063,Amebic liver abscess,1.0,,N,,
DIAG,ICD9,0064,Amebic lung abscess,1.0,,N,,
DIAG,ICD9,0065,Amebic brain abscess,1.0,,N,,
DIAG,ICD9,0066,Amebic skin ulceration,1.0,,N,,
DIAG,ICD9,0068,Amebic infection of other sites,1.0,,N,,
